試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ00559848,,,UXA40T2,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,559976,100,,
QJ00559855,,,UX14383,個,1,JPY,0,,2013/7/1,2018/6/30,,60,0,1,560336,100,,
QJ00560212,,,UX141X3,個,1,JPY,0,,2013/8/1,2018/7/31,,60,0,1,560212,200,,
QJ00560212,,,UX142C3,個,50,JPY,0,,2013/8/1,2018/7/31,,60,0,1,560212,300,,
QJ00560212,,,UX142D3,個,100,JPY,0,,2013/8/1,2018/7/31,,60,0,1,560212,400,,
QJ00560212,,,UX141G3,個,1,JPY,0,,2013/8/1,2018/7/31,,60,0,1,560212,500,,
QJ00560896,,,UX14383,個,1,JPY,0,,2013/9/9,2018/9/8,,60,0,1,582410,2600,,
QJ00561105,,,UX14403,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,563713,200,,
QJ00561552,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,561552,2000,,
QJ00561608,,,UX142E2,個,1,JPY,0,,2013/8/30,2018/8/29,,60,0,1,561608,1000,,
QJ00561609,,,UX14383,個,1,JPY,0,,2013/11/1,2018/10/31,,60,0,1,586982,2500,,
QJ00561842,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,562339,2500,,
QJ00562431,,,UX14393,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,582689,2900,,
QJ00562507,,,UX14403,個,1,JPY,0,,2013/9/18,2018/9/17,,60,0,1,576313,2100,,
QJ00563520,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,577797,2900,,
QJ00563522,,,UX14383,個,1,JPY,0,,2013/11/1,2018/10/31,,60,0,1,563522,2500,,
QJ00564150,,,UX14722,個,1,JPY,0,,2015/2/24,2018/2/23,,36,0,1,581420,500,,
QJ00564299,,,UX14393,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,565759,100,,
QJ00564880,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,594864,100,,
QJ00565849,,,UXA40T2,個,1,JPY,0,,2013/8/1,2018/7/31,,60,0,1,565922,100,,
QJ00565965,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,565965,200,,
QJ00566043,,,UX14383,個,1,JPY,0,,2013/9/17,2018/9/30,,60,0,1,566043,2400,,
QJ00566458,,,UX14403,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,584178,2700,,
QJ00566498,,,UX142H2,個,1,JPY,0,,2014/9/25,2018/9/24,,48,0,1,585767,4000,,
QJ00567430,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,576405,1600,,
QJ00567442,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,579892,3100,,
QJ00567732,,,UXA40T2,個,1,JPY,0,,2013/9/10,2018/9/9,,60,0,1,567732,200,,
QJ00568463,,,UX14403,個,1,JPY,0,,2013/9/30,2018/9/29,,60,0,1,568659,100,,
QJ00568587,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,575438,200,,
QJ00568917,,,UX14393,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,571812,200,,
QJ00569202,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,569202,2700,,
QJ00569403,,,UX14383,個,1,JPY,0,,2013/9/23,2018/9/30,,60,0,1,569403,1700,,
QJ00569486,,,UX142J2,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,569486,100,,
QJ00569558,,,UX14393,個,1,JPY,0,,2013/9/8,2018/8/31,,60,0,1,579749,3400,,
QJ00569794,,,UX14383,個,1,JPY,0,,2013/11/1,2018/10/30,,60,0,1,575439,200,,
QJ00570066,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,582611,1600,,
QJ00570254,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,570254,2700,,
QJ00570425,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,583335,2300,,
QJ00570453,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,571971,200,,
QJ00571137,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,574658,800,,
QJ00571883,,,UX14383,個,1,JPY,0,,2013/11/1,2018/10/31,,60,0,1,582207,2600,,
QJ00571979,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,572687,100,,
QJ00572191,,,UX141C3,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,584840,2600,,
QJ00572322,,,UX141C3,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,584428,3300,,
QJ00572958,,,UX14393,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,573750,200,,
QJ00573038,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,582258,1800,,
QJ00573266,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,582383,1300,,
QJ00573271,,,UX14393,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,582389,1800,,
QJ00573653,,,UX14383,個,1,JPY,0,,2013/9/19,2018/9/18,,60,0,1,573653,100,,
QJ00573806,,,UX14403,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,584024,3000,,
QJ00573899,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,587176,1200,,
QJ00573984,,,UX14383,個,1,JPY,0,,2013/9/24,2018/9/23,,60,0,1,582942,1800,,
QJ00574198,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,584878,2600,,
QJ00574213,,,UX14383,個,1,JPY,0,,2013/9/25,2018/9/24,,60,0,1,584294,1500,,
QJ00574270,,,UX141F3,個,1,JPY,0,,2013/9/27,2018/9/26,,60,0,1,574398,100,,
QJ00574453,,,UX141C3,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,584298,2100,,
QJ00574599,,,UX14383,個,1,JPY,0,,2013/9/26,2018/9/25,,60,0,1,582963,1800,,
QJ00575238,,,UX14383,個,1,JPY,0,,2013/9/27,2018/9/26,,60,0,1,584401,1900,,
QJ00575393,,,UX14403,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,575393,2700,,
QJ00575443,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,577525,2900,,
QJ00575445,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,576409,100,,
QJ00576000,,,UX14393,個,1,JPY,0,,2013/10/1,2017/10/31,,49,0,1,576000,100,,
QJ00576217,,,UX14403,個,1,JPY,0,,2013/11/10,2018/10/10,,59,0,1,586273,3200,,
QJ00576420,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,584093,2800,,
QJ00576477,,,UX14383,個,1,JPY,0,,2013/10/10,2018/10/9,,60,0,1,584132,1800,,
QJ00576504,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,576557,200,,
QJ00576533,,,UX14383,個,1,JPY,0,,2013/9/4,2018/9/3,,60,0,1,580420,1200,,
QJ00576694,,,UX140U3,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,576694,2800,,
QJ00576890,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,584854,1800,,
QJ00576902,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,576902,2000,,
QJ00577171,,,UX14403,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,582619,2500,,
QJ00577237,,,UX142K3,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,587285,400,,
QJ00577237,,,UX142M3,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,587285,500,,
QJ00577237,,,UX142N3,個,10,JPY,0,,2013/10/1,2018/9/30,,60,0,1,587285,600,,
QJ00577237,,,UX141G3,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,587285,700,,
QJ00577859,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,586827,1500,,
QJ00577876,,,UX14403,個,1,JPY,0,,2013/6/1,2018/5/31,,60,0,1,578088,200,,
QJ00577956,,,UX14383,個,1,JPY,0,,2013/9/25,2018/9/24,,60,0,1,578582,100,,
QJ00577957,,,UX14383,個,1,JPY,0,,2013/9/21,2018/9/20,,60,0,1,578581,100,,
QJ00578126,,,UX149R1,個,1,JPY,0,,2013/12/1,2018/11/30,,60,0,1,584304,2200,,
QJ00578640,,,UX141C3,個,1,JPY,0,,2013/9/10,2018/9/9,,60,0,1,586303,1500,,
QJ00579117,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,579117,1500,,
QJ00579237,,,UX141G3,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,579237,100,,
QJ00579238,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,586259,2300,,
QJ00579558,,,UX14383,個,1,JPY,0,,2013/10/21,2018/10/30,,60,0,1,586198,1600,,
QJ00579776,,,UX14383,個,1,JPY,0,,2013/9/25,2018/9/30,,60,0,1,594336,100,,
QJ00579815,,,UX14393,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,584226,2300,,
QJ00579906,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,584812,2600,,
QJ00579978,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,585559,2900,,
QJ00580074,,,UX14383,個,1,JPY,0,,2013/11/1,2018/10/31,,60,0,1,586192,2200,,
QJ00580081,,,UX141E3,個,1,JPY,0,,2013/11/1,2018/10/31,,60,0,1,586729,3500,,
QJ00580191,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,580418,200,,
QJ00580479,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,580479,100,,
QJ00580485,,,UX14383,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,580669,100,,
QJ00580626,,,UX14383,個,1,JPY,0,,2013/12/1,2018/11/30,,60,0,1,580626,2700,,
QJ00580831,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,589230,100,,
QJ00580981,,,UX14383,個,1,JPY,0,,2013/11/1,2018/10/31,,60,0,1,586045,1900,,
QJ00581059,,,UX14383,個,1,JPY,0,,2013/11/1,2018/10/31,,60,0,1,581059,1900,,
QJ00581266,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,581266,100,,
QJ00581267,,,UX141C3,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,586681,3900,,
QJ00581283,,,UXA40T2,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,586017,1700,,
QJ00581315,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,581315,100,,
QJ00581333,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,594217,100,,
QJ00581337,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,581439,100,,
QJ00581357,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,581357,100,,
QJ00581358,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,581358,100,,
QJ00581452,,,UX14383,個,1,JPY,0,,2013/10/10,2018/9/10,,59,0,1,582666,100,,
QJ00581461,,,UX14383,個,1,JPY,0,,2013/10/1,2018/9/30,,60,0,1,581461,100,,
QJ00581489,,,UX142E2,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,581489,1000,,
QJ00581489,,,UX142E2,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,581489,1100,,
QJ00581489,,,UX142E2,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,581489,1200,,
QJ00581489,,,UX142E2,個,1,JPY,0,,2013/9/1,2018/8/31,,60,0,1,581489,1300,,
