試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ01495950,,,UX142G2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495950,200,,
QJ01495950,,,UX14293,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495950,300,,
QJ01495950,,,UX14353,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495950,400,,
QJ01495951,,,UX14455,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495951,100,,
QJ01495951,,,UX14353,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495951,200,,
QJ01495955,,,UX142E2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495955,100,,
QJ01495980,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495980,400,,
QJ01495981,,,UX142G2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495981,100,,
QJ01495982,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495982,100,,
QJ01495982,,,UX142G2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495982,200,,
QJ01495983,,,UX14455,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1495983,100,,
QJ01496021,,,UX149R1,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1499627,2400,,
QJ01496030,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1496030,500,,
QJ01496031,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1496031,500,,
QJ01496032,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1496032,400,,
QJ01496075,,,UX149R1,個,1,JPY,0,,2017/3/1,2018/2/28,,12,0,1,1497334,1000,,
QJ01496196,,,UX149R1,個,1,JPY,0,,2017/3/22,2018/3/21,,12,0,1,1498404,1500,,
QJ01496209,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1496209,400,,
QJ01496210,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1496210,600,,
QJ01496212,,,UX142A2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1496212,100,,
QJ01496213,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1496213,3100,,
QJ01496300,,,UX142F2,個,1,JPY,0,,2017/4/1,2018/3/31,,12,0,1,1496300,400,,
QJ01496303,,,UX149R1,個,1,JPY,0,,2017/5/1,2018/4/30,,12,0,1,1499346,3400,,
QJ01496304,,,UX149R1,個,1,JPY,0,,2017/3/30,2018/3/29,,12,0,1,1499352,3700,,
QJ01496305,,,UX149R1,個,1,JPY,0,,2017/3/31,2018/3/30,,12,0,1,1501338,900,,
QJ01496307,,,UX149R1,個,1,JPY,0,,2017/3/29,2018/3/28,,12,0,1,1498491,2600,,
