試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ00815554,,,UX14393,個,1,JPY,0,,2014/8/1,2019/4/30,,57,0,1,815554,100,,
QJ00815581,,,UX14383,個,1,JPY,0,,2014/8/20,2019/8/19,,60,0,1,815581,2400,,
QJ00815667,,,UX14383,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,815667,2500,,
QJ00816180,,,UX142K3,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,816180,100,,
QJ00816180,,,UX143S3,個,20,JPY,0,,2014/9/1,2019/8/31,,60,0,1,816180,200,,
QJ00816180,,,UX142M3,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,816180,300,,
QJ00816180,,,UX144V3,個,20,JPY,0,,2014/9/1,2019/8/31,,60,0,1,816180,400,,
QJ00816180,,,UX144S3,個,3,JPY,0,,2014/9/1,2019/8/31,,60,0,1,816180,500,,
QJ00816180,,,UX141G3,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,816180,600,,
QJ00816486,,,UX142K3,個,1,JPY,0,,2014/9/1,2019/8/31,,60,0,1,816486,200,,
QJ00816486,,,UX143U3,個,40,JPY,0,,2014/9/1,2019/8/31,,60,0,1,816486,300,,
QJ00816486,,,UX144T3,個,4,JPY,0,,2014/9/1,2019/8/31,,60,0,1,816486,400,,
QJ00816486,,,UX144U3,個,5,JPY,0,,2014/9/1,2019/8/31,,60,0,1,816486,500,,
