試算番号（明細）,バージョン1,PLANID,品目コード,基本数量単位,数量,販売伝票通貨,標準単価,□S販売単価,契約開始日,契約終了日,解約日,契約期間数,更新期間数,HARIS伝票区分,受注伝票番号,受注明細番号,□前受注伝票番号,□前受注明細番号
QJ00378418,,,UX14383,個,1,JPY,0,,2013/3/1,2018/2/28,,60,0,1,455334,100,,
QJ00379426,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,379426,200,,
QJ00380130,,,UX14383,個,1,JPY,0,,2013/1/10,2018/1/31,,61,0,1,380130,200,,
QJ00380662,,,UX14383,個,1,JPY,0,,2013/1/31,2017/12/31,,59,0,1,380994,200,,
QJ00381876,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,390388,1900,,
QJ00383295,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,383295,2800,,
QJ00383357,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,395375,1600,,
QJ00383615,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,395155,2500,,
QJ00383668,,,UX14383,個,1,JPY,0,,2012/12/25,2017/12/24,,60,0,1,383668,100,,
QJ00383736,,,UX142J2,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,384175,100,,
QJ00383824,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,383824,200,,
QJ00384612,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,384612,2000,,
QJ00384627,,,UX142H2,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,384627,700,,
QJ00385405,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,389582,200,,
QJ00386055,,,UX14383,個,1,JPY,0,,2012/12/1,2017/11/30,,60,0,1,387792,100,,
QJ00386513,,,UX14393,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,386513,100,,
QJ00387846,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,388116,100,,
QJ00387930,,,UXA40T2,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,398733,2000,,
QJ00388055,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,388223,100,,
QJ00388280,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,388280,100,,
QJ00388757,,,UX14383,個,1,JPY,0,,2013/1/1,2018/1/1,,60,0,1,388757,100,,
QJ00388796,,,UXA40T2,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,407503,2600,,
QJ00388856,,,UX14393,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,388856,100,,
QJ00389008,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,389089,100,,
QJ00389166,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,389166,1900,,
QJ00389295,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,390105,3000,,
QJ00389296,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,400343,1800,,
QJ00389640,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,395833,2500,,
QJ00390675,,,UX14383,個,1,JPY,0,,2013/2/1,2017/10/31,,57,0,1,390675,100,,
QJ00390741,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,400394,2200,,
QJ00392980,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,392980,100,,
QJ00393327,,,UX14383,個,1,JPY,0,,2013/1/1,2017/12/31,,60,0,1,393327,100,,
QJ00394009,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,399538,1900,,
QJ00394038,,,UX14383,個,1,JPY,0,,2012/12/25,2017/12/31,,60,0,1,394038,100,,
QJ00394048,,,UX14383,個,1,JPY,0,,2013/1/10,2018/1/9,,60,0,1,397679,2000,,
QJ00394113,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,394113,100,,
QJ00394119,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,394119,1900,,
QJ00394762,,,UX14403,個,1,JPY,0,,2013/1/26,2018/1/25,,60,0,1,394762,200,,
QJ00396562,,,UX14383,個,1,JPY,0,,2013/1/25,2018/1/24,,60,0,1,396562,100,,
QJ00396612,,,UX14383,個,1,JPY,0,,2013/2/1,2018/1/31,,60,0,1,396752,200,,
